Embedding,Raw,Explicit,,,,
Metric,$e_{c}$,$e_{cost}$,$e_{c}$,$e_{cost}$,,
Random0,99.33,99.3,99.4,98.1,,
Random1,97.89,96,95.29,94.2,,
Random2,96.56,71,96.45,66.8,,
Random3,96.41,95.6,96.03,95.1,,
Random4,97.77,96.3,97.98,95.1,,
Random5,93.86,89.4,94.1,91.8,,
Random6,96.65,93.3,96.96,90.2,,
Random7,94.02,90.1,94.93,92.2,,
Random8,99.79,99.5,99.71,97.4,,
Random9,96.13,91,94.2,91.2,,
Random10,93.78,99,99.19,99.8,,
Random11,7.65,4,99.43,99.1,,
Random12,86.54,99.6,99.27,99.6,,
Random13,94.61,99.9,99.26,100,,
Random14,91.88,82.2,95.77,90.4,,
Random15,94.75,98.9,98.5,99.6,,
Random16,96.92,98.9,98.7,99.2,,
Random17,18.49,1.5,75.7,48.1,,
Random18,77.25,75.5,96.16,96.4,,
Random19,95.90,98.8,97.53,99.6,,
Synthetic,99.99,99.9,99.92,99.7,,
Overlapping,96.24,97.3,99.96,99.9,,
Synth Images,83.84,64.64,93.67,80.44,,
Real Images,99.37,98.47,99.38,97.42,,
