Method,Greedy,Vanilla GA,GA,SA,,,,
Metric,$e_{c}$,$e_{opt}$,$e_{c}$,$e_{opt}$,$e_{c}$,$e_{opt}$,$e_{c}$,$e_{opt}$
Random0,99.38,1.3,98.28,5.3,99.4,0.2,98.25,4
Random1,97.89,3.4,90.81,26.5,95.29,3.2,91.97,11.4
Random2,96.56,1,96.14,5.3,96.45,0.4,93.3,8.4
Random3,96.41,7.2,92.73,21.5,96.03,2.9,93.67,10.1
Random4,97.77,3.4,92.67,23,97.98,1,94.03,14.1
Random5,93.86,6.4,87.48,38.2,94.1,4.8,88.66,22.2
Random6,96.65,5,93.67,18.8,96.96,1.9,95.08,7.5
Random7,94.02,9.7,91.35,26.9,94.93,5.8,91.67,14.2
Random8,99.79,0.3,98.78,4,99.71,0,98.34,4.2
Random9,96.13,4,90.64,25.2,94.2,3.8,91.42,11.2
Random10,93.78,17.6,96.44,14.1,99.19,1.1,88.35,39.7
Random11,7.65,4,96.44,13.1,99.43,0.3,89.07,36.6
Random12,86.54,45.5,96.74,12.8,99.27,2.8,88.46,39.2
Random13,94.61,15.6,96.98,11.5,99.26,1.5,90.22,34
Random14,91.88,10.1,94.37,18.7,95.77,2.9,85.83,40.9
Random15,94.75,17.2,92.32,29.5,98.5,2.6,86.13,50.4
Random16,96.92,8.3,90.85,34,98.7,1.5,86.35,48.3
Random17,18.49,1.5,86.31,22.3,75.7,0.3,78.5,28.9
Random18,77.25,31.5,91.87,30.1,96.16,5.7,86.88,45.8
Random19,95.9,13.7,88.47,41.1,97.53,4,83.43,56
Synthetic,99.99,0,99.78,0.61,99.92,0,99.5,1.32
Overlapping,96.24,7.5,99.84,0.7,99.96,0.1,98.73,5
Synth Images,83.84,3.66,87.81,28.9,93.67,0.87,92.47,5.68
Real Images,95.86,0,98.83,7.58,99.38,0,98.57,0.57
