Method,Greedy,GA,SA,Vanilla GA
Random0,0.013,0.053,0.002,0.04
Random1,0.034,0.265,0.032,0.114
Random2,0.01,0.053,0.004,0.084
Random3,0.072,0.215,0.029,0.101
Random4,0.034,0.23,0.01,0.141
Random5,0.064,0.382,0.048,0.222
Random6,0.05,0.188,0.019,0.075
Random7,0.097,0.269,0.058,0.142
Random8,0.003,0.04,0,0.042
Random9,0.04,0.252,0.038,0.112
Random10,0.176,0.141,0.011,0.397
Random11,0.04,0.131,0.003,0.366
Random12,0.455,0.128,0.028,0.392
Random13,0.156,0.115,0.015,0.34
Random14,0.101,0.187,0.029,0.409
Random15,0.172,0.295,0.026,0.504
Random16,0.083,0.34,0.015,0.483
Random17,0.015,0.223,0.003,0.289
Random18,0.315,0.301,0.057,0.458
Random19,0.137,0.411,0.04,0.56
Synthetic,0,0.0060729,0,0.013158
Overlapping,0.075,0.007,0.001,0.05
Synth Images,0.036609,0.28902,0.0086705,0.05684
Real Images,0,0.075777,0,0.0056943
